"PostCode","shortPostcode","Year","Town","District","County","Population2019","Population2020","Population2021","Population2022"
"YO60 7JR","YO60","2019","YORK","RYEDALE","NORTH YORKSHIRE",5008.02457413654,5036.13238201084,5064.39794647196,5092.82215293723
"BD22 0LS","BD22","2019","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",31530.1677944319,31707.1325607765,31885.0905514114,32064.0473408613
"BD20 7BY","BD20","2019","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",37304.0261201502,37513.3969775813,37723.9429402356,37935.6706034546
"YO11 3TU","YO11","2019","SCARBOROUGH","SCARBOROUGH","NORTH YORKSHIRE",24188.727003407,24324.4875375799,24461.0100350688,24598.298772434
"YO8 9SN","YO8","2019","SELBY","SELBY","NORTH YORKSHIRE",46191.9229281622,46451.1775855204,46711.8873236178,46974.0603091736
"YO17 9DS","YO17","2019","MALTON","RYEDALE","NORTH YORKSHIRE",22408.8237324895,22534.5944636106,22661.0710897397,22788.2575727506
"YO60 6QT","YO60","2019","YORK","RYEDALE","NORTH YORKSHIRE",5008.02457413654,5036.13238201084,5064.39794647196,5092.82215293723
"YO61 3AE","YO61","2019","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"YO11 3YU","YO11","2019","SCARBOROUGH","SCARBOROUGH","NORTH YORKSHIRE",24188.727003407,24324.4875375799,24461.0100350688,24598.298772434
"BD24 0HH","BD24","2019","SETTLE","CRAVEN","NORTH YORKSHIRE",5419.99031636672,5450.41030417583,5481.00102580629,5511.76343951085
"YO17 6YG","YO17","2019","MALTON","RYEDALE","NORTH YORKSHIRE",22408.8237324895,22534.5944636106,22661.0710897397,22788.2575727506
"YO13 0QR","YO13","2019","SCARBOROUGH","SCARBOROUGH","NORTH YORKSHIRE",10680.4759479212,10740.420694898,10800.7018849985,10861.3214065278
"YO51 9LA","YO51","2019","YORK","HARROGATE","NORTH YORKSHIRE",5844.63192758859,5877.43523933052,5910.42266142783,5943.59522720981
"BD23 3DJ","BD23","2019","SKIPTON","CRAVEN","NORTH YORKSHIRE",30980.880138125,31154.7619978899,31329.6197789656,31505.4589587631
"YO62 7TL","YO62","2019","YORK","RYEDALE","NORTH YORKSHIRE",12739.2483366561,12810.7480546405,12882.6490686462,12954.9536309688
"TS9 5FG","TS9","2019","MIDDLESBROUGH","HAMBLETON","NORTH YORKSHIRE",13454.3786122711,13529.8920374757,13605.8292858497,13682.1927361235
"YO26 9TD","YO26","2019","YORK","HARROGATE","NORTH YORKSHIRE",31903.049607271,32082.10719289,32262.1697488602,32443.2429156318
"YO8 9EE","YO8","2019","SELBY","SELBY","NORTH YORKSHIRE",46191.9229281622,46451.1775855204,46711.8873236178,46974.0603091736
"HG5 9HU","HG5","2019","KNARESBOROUGH","HARROGATE","NORTH YORKSHIRE",19454.289935008,19563.4781859299,19673.2792617958,19783.6966021187
"YO21 2AS","YO21","2019","WHITBY","SCARBOROUGH","NORTH YORKSHIRE",14927.9483825559,15011.7322975274,15095.9864542379,15180.7134919445
"BD23 5LU","BD23","2019","SKIPTON","CRAVEN","NORTH YORKSHIRE",30980.880138125,31154.7619978899,31329.6197789656,31505.4589587631
"YO7 1GT","YO7","2019","THIRSK","HAMBLETON","NORTH YORKSHIRE",21123.2793522481,21241.8348962394,21361.0558396118,21480.9459169554
"YO14 0HZ","YO14","2019","FILEY","SCARBOROUGH","NORTH YORKSHIRE",11889.9651142124,11956.6981843312,12023.8057974031,12091.2900555709
"YO26 8DG","YO26","2019","YORK","HARROGATE","NORTH YORKSHIRE",31903.049607271,32082.10719289,32262.1697488602,32443.2429156318
"YO62 7RU","YO62","2019","YORK","RYEDALE","NORTH YORKSHIRE",12739.2483366561,12810.7480546405,12882.6490686462,12954.9536309688
"LA2 7LH","LA2","2019","LANCASTER","CRAVEN","NORTH YORKSHIRE",23560.215165902,23692.4481435077,23825.423285828,23959.1447583025
"YO61 1TR","YO61","2019","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"YO61 2PG","YO61","2019","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"LS25 6DU","LS25","2019","LEEDS","SELBY","NORTH YORKSHIRE",42165.2218784662,42401.8764591282,42639.8592763807,42879.1777850233
"LS21 2PY","LS21","2019","OTLEY","HARROGATE","NORTH YORKSHIRE",18727.5401128173,18832.6494411876,18938.3487013291,19044.6412042658
"LA6 3HB","LA6","2019","CARNFORTH","CRAVEN","NORTH YORKSHIRE",13210.3681341809,13284.5120374241,13359.0720773209,13434.0505894607
"YO23 7DQ","YO23","2019","YORK","SELBY","NORTH YORKSHIRE",20412.3743662971,20526.9399177341,20642.1484745041,20758.0036455092
"HG3 1QN","HG3","2019","HARROGATE","HARROGATE","NORTH YORKSHIRE",27886.9117817348,28043.4285773225,28200.8238318624,28359.1024757525
"BD23 3EG","BD23","2019","SKIPTON","CRAVEN","NORTH YORKSHIRE",30980.880138125,31154.7619978899,31329.6197789656,31505.4589587631
"YO17 9AA","YO17","2019","MALTON","RYEDALE","NORTH YORKSHIRE",22408.8237324895,22534.5944636106,22661.0710897397,22788.2575727506
"YO8 5BQ","YO8","2019","SELBY","SELBY","NORTH YORKSHIRE",46191.9229281622,46451.1775855204,46711.8873236178,46974.0603091736
"HG5 9HF","HG5","2019","KNARESBOROUGH","HARROGATE","NORTH YORKSHIRE",19454.289935008,19563.4781859299,19673.2792617958,19783.6966021187
"HG5 0PZ","HG5","2019","KNARESBOROUGH","HARROGATE","NORTH YORKSHIRE",19454.289935008,19563.4781859299,19673.2792617958,19783.6966021187
"YO61 1JB","YO61","2019","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"YO21 2AR","YO21","2019","WHITBY","SCARBOROUGH","NORTH YORKSHIRE",14927.9483825559,15011.7322975274,15095.9864542379,15180.7134919445
"YO61 3EF","YO61","2019","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"YO61 1RT","YO61","2019","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"DL10 7HX","DL10","2019","RICHMOND","RICHMONDSHIRE","NORTH YORKSHIRE",19461.6841919198,19570.9139435072,19680.7567529634,19791.2160611085
"YO26 9RQ","YO26","2019","YORK","HARROGATE","NORTH YORKSHIRE",31903.049607271,32082.10719289,32262.1697488602,32443.2429156318
"YO14 0ER","YO14","2019","FILEY","SCARBOROUGH","NORTH YORKSHIRE",11889.9651142124,11956.6981843312,12023.8057974031,12091.2900555709
"YO61 1LW","YO61","2019","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"YO8 8NJ","YO8","2019","SELBY","SELBY","NORTH YORKSHIRE",46191.9229281622,46451.1775855204,46711.8873236178,46974.0603091736
"YO17 8JX","YO17","2019","MALTON","RYEDALE","NORTH YORKSHIRE",22408.8237324895,22534.5944636106,22661.0710897397,22788.2575727506
"DN14 0JF","DN14","2019","GOOLE","SELBY","NORTH YORKSHIRE",48846.4611595069,49120.6145557784,49396.3066527644,49673.5460865057
"DL6 2TZ","DL6","2019","NORTHALLERTON","HAMBLETON","NORTH YORKSHIRE",16388.8422838491,16480.8255445894,16573.3250663388,16666.3437466402
"YO62 6RQ","YO62","2019","YORK","RYEDALE","NORTH YORKSHIRE",12739.2483366561,12810.7480546405,12882.6490686462,12954.9536309688
"BD20 7RN","BD20","2019","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",37304.0261201502,37513.3969775813,37723.9429402356,37935.6706034546
"YO17 9HR","YO17","2019","MALTON","RYEDALE","NORTH YORKSHIRE",22408.8237324895,22534.5944636106,22661.0710897397,22788.2575727506
"YO51 9AT","YO51","2019","YORK","HARROGATE","NORTH YORKSHIRE",5844.63192758859,5877.43523933052,5910.42266142783,5943.59522720981
"TS9 6SE","TS9","2019","MIDDLESBROUGH","HAMBLETON","NORTH YORKSHIRE",13454.3786122711,13529.8920374757,13605.8292858497,13682.1927361235
"HG5 8NR","HG5","2019","KNARESBOROUGH","HARROGATE","NORTH YORKSHIRE",19454.289935008,19563.4781859299,19673.2792617958,19783.6966021187
"YO17 6AB","YO17","2019","YORK","RYEDALE","NORTH YORKSHIRE",22408.8237324895,22534.5944636106,22661.0710897397,22788.2575727506
"YO17 6AH","YO17","2019","YORK","RYEDALE","NORTH YORKSHIRE",22408.8237324895,22534.5944636106,22661.0710897397,22788.2575727506
"YO61 3FB","YO61","2019","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"YO51 9FE","YO51","2019","YORK","HARROGATE","NORTH YORKSHIRE",5844.63192758859,5877.43523933052,5910.42266142783,5943.59522720981
"LS24 9NH","LS24","2019","TADCASTER","SELBY","NORTH YORKSHIRE",12516.3643068854,12586.6130762384,12657.2561205961,12728.2956528482
"YO21 1RW","YO21","2019","WHITBY","SCARBOROUGH","NORTH YORKSHIRE",14927.9483825559,15011.7322975274,15095.9864542379,15180.7134919445
"YO12 4ND","YO12","2020","SCARBOROUGH","SCARBOROUGH","NORTH YORKSHIRE",43144.4327580749,43386.5832125819,43630.0927495677,43874.968996956
